"","SMILE","Activity"
"V196","CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N)C",3.100001583
"V197","CC1=C(C=CN=C1)C2=CC=C(C=C2)C(=O)NC(C)C3=CC(=CC=C3)OC",3.899999872
"V198","C1=CC(=CC(=C1)N)C2=CC(=C3C(=C2)C=CC=N3)C(=O)N",3.899999872
"V199","C1=CC(=CC(=C1)O)C2=C3C(=CC=C2)ON=C3N",3.899999872
"V200","COC1=C(C=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3)O",3.899999872
"V201","C1=CC(=CC=C1CNC(=O)NC2=CC3=C(C=C2)NN=C3)Br",3.899999872
"V202","CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N",3.599999814
"V203","CCCC(=O)NC1=NN(C2=NC3=CC=CC=C3C=C12)C(=O)CC",3.899999872
"V205","CC1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C(F)(F)F)C",3.500000321
"V206","CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)NC)Br",2.200001865
"V208","CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)C(=O)O)C4=C(C=C(C=C4)F)F",3.899999872
"V210","C1CNCCC1NC2=NC=CC(=N2)C3=C(N=C4N3C=CO4)C5=CC=C(C=C5)F",3.899999872
"V211","CN1CCN(CC1)C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CC=C5)C(=O)N",3.100001583
"V212","CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C(C4=NC=CN=C4C=C3)N",2.200001865
"V213","CC1=CNC2=NC=CC(=C12)OC3=C(C=C(C=C3F)NC4=CC(=NC(=N4)N)Cl)F",3.400000617
"V214","C1COCCN1C2=NC(=CC=C2)NC(=O)NC3=C4C=CC=C(C4=NC=C3)C(F)(F)F",3.899999872
"V215","C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N)N",3.899999872
"V216","C1=CC=C(C=C1)CNC(=O)C2=CC=CC(=C2)C3=CN=C4C(=C3)C=CN4",3
"V217","C1=CC=C(C=C1)CN2C(=C(N=N2)C3=CC4=C(C=C3)NN=C4N)C5=CC=CC=C5",3.899999872
"V218","CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3NC(=O)CC",3.899999872
"V221","CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N",3.899999872
"V222","CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)C(=NC=N4)N",3.599999814
"V223","CC1=C2CCCC(=C2C=CC1=O)NNC(=O)CC3=CC=CC4=CC=CC=C43",3.899999872
"V224","CC(C)(CO)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F",3.899999872
"V225","COC1=CC=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3",3.899999872
"V227","COC1=C(C=CC(=C1)C=C2C(=O)NC(=S)S2)O",3.899999872
"V228","CC(=O)NC1=C(SC2=C1C(=C(C=C2)Cl)Cl)C(=O)N",2.800001828
"V229","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC(=NC(=C34)N)N",1.400019635
"V230","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN5CCCC5)N",1
"V231","C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC(=C(C=C4)N)C(=O)C5=CC(=CC=C5)Cl)N",3.899999872
"V232","C1CN(CCC1O)C2=NC=NC3=C2C(=CN3)C4=CC=CC=C4",3
"V233","C1=CC(=NC(=C1)NC(=O)NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)C(F)(F)F",3.500000321
"V234","C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC=C3C4=C(C=CC5=C4SC=N5)NC3=O",1.400019635
"V235","C1CC(CCC1N)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4",2.900000965
